判定,警戒スコア,ティッカー,銘柄名,種別,取得日,取得単価,補正後取得単価,終値,取得単価比(%),25日線乖離(%),75日線乖離(%),200日線乖離(%),25日線-75日線差(%),75日線-200日線差(%),20日騰落率(%),60日騰落率(%),60日高値からの下落率(%),出来高倍率(20日),上ヒゲ率(%),推奨アクション,データ注意,警戒サイン,メモ,生成日時
撤退,9,3449.T,テクノフレックス,core,2026-08-17,4200.0,4200.0,3955.0,-5.833,-0.192,-32.844,-1.754,-32.715,46.296,-2.346,-48.328,-63.05,0.704,0.0,ロスカット強制撤退,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,既存保有・中期監視,2026-09-13T06:12:52
撤退,9,4971.T,メック,review,2026-03-27,,,6020.0,,-13.501,-31.561,-20.2,-20.879,16.6,-20.159,-45.965,-49.567,0.826,0.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,7012.T,川崎重工業,review,2026-08-18,,,2319.0,,-10.785,-16.38,-17.846,-6.271,-1.753,-18.617,-28.996,-32.331,1.026,14.365,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,4975.T,ＪＣＵ,review,2026-06-02,,,5760.0,,3.964,-11.027,-4.394,-14.419,7.455,2.857,-19.777,-28.801,1.057,4.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,6955.T,FDK,review,2026-07-23,,,400.0,,-2.771,-10.204,-6.242,-7.645,4.412,-4.535,-22.027,-28.571,0.509,16.667,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,4063.T,信越化学工業,review,2026-05-26,,,5738.0,,-4.844,-14.067,-6.582,-9.692,8.711,-9.95,-23.99,-25.827,1.299,0.926,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,429A.T,テクセンドフォトマスク,review,2026-08-06,,,3740.0,,-0.405,-6.91,5.289,-6.531,13.104,-2.604,-11.269,-23.984,1.024,38.095,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,5393.T,ニチアス,core,2026-08-06,3570.0,3570.0,3292.0,-7.787,-3.019,-7.2,8.511,-4.311,16.93,-8.91,-12.702,-20.598,1.008,13.793,ロスカット強制撤退,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,既存保有・中期監視,2026-09-13T06:12:52
撤退,9,6928.T,エノモト,review,2026-06-17,,,2905.0,,-2.83,-4.011,0.935,-1.215,5.152,-9.077,-13.67,-19.751,0.724,30.38,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
撤退,9,3627.T,テクミラホールディングス,review,2026-07-07,,,267.0,,0.843,-0.431,0.288,-1.264,0.722,0.376,-8.189,-8.189,0.595,0.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-13T06:12:52
