判定日,監視順位,ティッカー,銘柄名,逆PO→上昇PO転換,逆PO転換準備,初動75GC200シグナル,押し目候補シグナル,押し目スコア,PO形成からの日数,PO形成(直近),25日GC75(直近),25日GC200(直近厳選),75日GC200(直近厳選),総合スコア,トレンドスコア,業績スコア,強さスコア,終値,売買代金(百万円),時価総額(十億円),売上成長率(%),利益率(%),ROE(%),20日騰落率(%),60日騰落率(%),52週高値差(%),出来高倍率(20日),25日線タッチ,75日線タッチ,25日線上で引け,75日線上で引け,25日線戻せず,75日線戻せず,支持反応OK,25日押し目候補,75日押し目候補,長期上向きOK,出来高条件OK,支持痕跡OK,押し深さOK,MA75質フィルタOK,MA75質タッチ,MA75翌日質シグナル,下落出来高急増,25日線傾き(%),75日線傾き(%),セクター,業種
2026-07-08,1,2371.T,カカクコム,False,False,True,False,6.5,0,True,True,True,True,31.03,10.3,10.16,10.58,3650.0,3481.005,718.146,16.0,19.976,29.622,8.858,67.086,0.055,1.008,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1.35,4.096,Communication Services,Internet Content & Information
2026-07-08,2,2222.T,寿スピリッツ,False,False,True,False,6.5,0,True,True,True,True,29.82,10.3,8.71,10.81,2586.0,1208.438,394.654,9.5,15.939,28.532,7.93,39.822,0.677,0.747,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,4.142,2.069,Consumer Defensive,Confectioners
2026-07-08,3,3093.T,トレジャー・ファクトリー,False,False,True,False,6.5,0,True,True,True,True,29.25,10.3,7.58,11.36,2290.0,401.666,52.977,14.6,6.525,27.658,16.658,29.014,2.576,1.05,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,4.181,1.881,Consumer Cyclical,Specialty Retail
2026-07-08,4,1975.T,朝日工業社,False,False,True,False,6.5,0,True,True,True,True,28.74,10.3,8.2,10.24,4560.0,706.344,115.923,23.9,8.815,19.896,17.982,16.923,6.579,1.485,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,2.969,1.429,Industrials,Engineering & Construction
2026-07-08,5,2674.T,ハードオフコーポレーション,False,False,True,False,6.5,0,True,True,True,True,27.95,10.3,7.0,10.65,2742.0,125.584,37.607,26.9,6.414,13.054,12.932,33.496,0.875,0.692,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2.162,2.155,Consumer Cyclical,Specialty Retail
2026-07-08,6,1926.T,ライト工業,False,False,True,True,11.5,0,True,True,True,True,26.28,10.3,5.77,10.2,4070.0,455.026,166.5,10.3,8.97,13.916,2.39,1.37,4.756,0.905,True,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False,False,0.149,0.221,Industrials,Engineering & Construction
2026-07-08,7,2914.T,日本たばこ産業,False,False,True,False,7.5,0,True,True,True,True,25.83,10.3,7.02,8.51,6202.0,34963.775,10946.855,11.7,15.314,13.618,2.662,4.874,2.306,1.077,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,0.529,0.524,Consumer Defensive,Tobacco
2026-07-08,8,3097.T,物語コーポレーション,False,False,True,False,6.5,0,True,True,True,True,25.52,10.3,6.24,8.98,5110.0,1376.634,194.306,21.8,5.27,18.085,7.367,10.368,3.076,0.868,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.517,0.048,Consumer Cyclical,Restaurants
2026-07-08,9,2805.T,ヱスビー食品,False,False,True,False,4.0,0,True,True,True,True,24.97,10.3,4.28,10.39,5940.0,474.606,141.912,7.0,6.517,9.637,15.564,17.624,3.199,1.995,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,0.607,1.555,Consumer Defensive,Packaged Foods
2026-07-08,10,1518.T,三井松島ホールディングス,False,False,True,False,6.5,0,True,True,True,True,24.49,10.3,5.15,9.04,1543.0,175.131,57.356,6.6,10.258,11.108,7.751,11.812,2.787,0.624,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,1.722,0.881,Energy,Thermal Coal
2026-07-08,11,2801.T,キッコーマン,False,False,True,False,6.5,0,True,True,True,True,23.8,10.3,5.34,8.16,1683.0,5893.866,1540.832,11.1,8.264,11.459,5.286,9.606,1.218,0.834,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,3.069,1.534,Consumer Defensive,Packaged Foods
2026-07-08,12,3091.T,ブロンコビリー,False,False,True,False,8.5,0,True,True,True,True,23.74,10.3,5.29,8.15,2267.0,194.282,68.005,13.1,7.342,10.775,6.143,1.297,5.096,0.743,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1.347,0.305,Consumer Cyclical,Restaurants
2026-07-08,13,2503.T,キリンホールディングス,False,False,True,False,6.5,0,True,True,True,True,22.67,10.3,3.6,8.77,2905.0,12157.425,2330.347,5.0,6.108,12.194,8.259,10.889,0.912,1.311,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,1.676,0.727,Consumer Defensive,Beverages - Brewers
