判定日,監視順位,ティッカー,銘柄名,逆PO→上昇PO転換,逆PO転換準備,初動75GC200シグナル,PO形成からの日数,75日GC200からの日数,25日線乖離(%),75日線乖離(%),逆PO履歴あり,PO形成(当日),PO形成(直近厳選),PO形成(直近),25日GC75(直近),25日GC200(直近厳選),75日GC200(直近厳選),総合スコア,トレンドスコア,業績スコア,強さスコア,終値,売買代金(百万円),時価総額(十億円),売上成長率(%),利益率(%),ROE(%),20日騰落率(%),60日騰落率(%),52週高値差(%),出来高倍率(20日),25日線傾き(%),75日線傾き(%),25日線>75日線,25日線>200日線,75日線>200日線,PO(25>75>200),セクター,業種,スクリーナー版,生成日時
2026-07-07,1,8704.T,トレイダーズホールディングス,False,False,True,0.0,0.0,6.153,11.343,False,True,True,True,True,True,True,31.29,10.3,11.44,9.54,1245.0,146.287,32.844,33.9,32.169,22.762,9.211,15.492,4.257,1.166,1.166,1.372,True,True,True,True,Financial Services,Capital Markets,lt_v1,2026-07-07T23:46:18
2026-07-07,2,4021.T,日産化学,False,False,True,0.0,0.0,4.894,17.576,False,True,True,True,True,True,True,30.11,10.3,8.36,11.45,8365.0,6925.383,1120.611,10.0,17.779,20.394,17.585,30.337,4.088,1.227,2.809,2.176,True,True,True,True,Basic Materials,Chemicals,lt_v1,2026-07-07T23:46:18
2026-07-07,3,6080.T,Ｍ＆Ａキャピタルパートナーズ,False,False,True,0.0,0.0,3.91,8.222,False,True,True,True,True,True,True,29.88,10.3,10.88,8.69,3625.0,313.2,115.197,82.5,25.511,14.276,4.618,10.015,4.276,1.078,0.932,0.37,True,True,True,True,Financial Services,Capital Markets,lt_v1,2026-07-07T23:46:18
2026-07-07,4,6861.T,キーエンス,False,False,True,0.0,0.0,1.122,9.897,False,True,True,True,True,True,True,29.63,10.3,9.43,9.89,78180.0,43905.888,18960.615,17.9,38.073,13.531,4.561,29.18,7.662,0.94,0.614,1.9,True,True,True,True,Technology,Scientific & Technical Instruments,lt_v1,2026-07-07T23:46:18
2026-07-07,5,5334.T,日本特殊陶業,False,False,True,0.0,0.0,0.636,14.936,False,True,True,True,True,True,True,29.13,10.3,8.64,10.19,10575.0,7124.377,2062.062,22.6,15.439,16.109,3.07,33.388,6.525,0.824,1.495,2.375,True,True,True,True,Consumer Cyclical,Auto Parts,lt_v1,2026-07-07T23:46:18
2026-07-07,6,9983.T,ファーストリテイリング,False,False,True,0.0,0.0,7.232,17.774,False,True,True,True,True,True,True,29.08,10.3,8.08,10.71,87900.0,113197.62,26971.214,14.8,13.06,20.616,12.606,29.723,0.375,1.338,1.267,1.835,True,True,True,True,Consumer Cyclical,Apparel Retail,lt_v1,2026-07-07T23:46:18
2026-07-07,7,4732.T,ユー・エス・エス,False,False,True,0.0,0.0,3.954,10.509,False,True,True,True,True,True,True,28.43,10.3,9.91,8.22,1963.0,2144.381,891.282,12.8,36.327,20.034,4.861,9.359,0.815,0.966,1.71,0.906,True,True,True,True,Consumer Cyclical,Auto & Truck Dealerships,lt_v1,2026-07-07T23:46:18
2026-07-07,8,8591.T,オリックス,False,False,True,0.0,0.0,2.754,14.623,False,True,True,True,True,True,True,28.14,10.3,7.96,9.88,6418.0,21751.886,7214.516,28.0,13.428,10.418,2.803,31.06,2.306,0.997,0.432,1.891,True,True,True,True,Financial Services,Financial Conglomerates,lt_v1,2026-07-07T23:46:18
2026-07-07,9,7747.T,朝日インテック,False,False,True,0.0,0.0,1.344,6.024,False,True,True,True,True,True,True,28.13,10.3,10.37,7.46,3700.0,3680.39,981.7,22.3,22.428,19.239,-0.017,1.72,6.514,0.926,0.63,1.304,True,True,True,True,Healthcare,Medical Instruments & Supplies,lt_v1,2026-07-07T23:46:18
2026-07-07,10,9962.T,ミスミグループ本社,False,False,True,0.0,0.0,4.107,18.759,False,True,True,True,True,True,True,27.68,10.3,6.44,10.94,3999.0,3485.528,1058.585,20.2,9.166,11.061,11.145,35.445,5.126,0.671,2.254,2.434,True,True,True,True,Industrials,Tools & Accessories,lt_v1,2026-07-07T23:46:18
2026-07-07,11,8117.T,中央自動車工業,False,False,True,0.0,0.0,5.257,9.814,False,True,True,True,True,True,True,27.57,10.3,8.35,8.92,2144.0,222.976,118.488,11.2,20.657,16.258,6.034,9.165,4.702,1.547,0.355,0.401,True,True,True,True,Consumer Cyclical,Auto Parts,lt_v1,2026-07-07T23:46:18
2026-07-07,12,5844.T,京都フィナンシャルグループ,False,False,True,0.0,0.0,2.907,6.421,False,True,True,True,True,True,True,27.52,10.3,9.19,8.02,4719.0,4154.136,1334.071,248.3,29.898,8.716,0.618,5.1,3.624,0.708,1.232,0.779,True,True,True,True,Financial Services,Banks - Regional,lt_v1,2026-07-07T23:46:18
