判定,警戒スコア,ティッカー,銘柄名,種別,取得日,取得単価,補正後取得単価,終値,取得単価比(%),25日線乖離(%),75日線乖離(%),200日線乖離(%),25日線-75日線差(%),75日線-200日線差(%),20日騰落率(%),60日騰落率(%),60日高値からの下落率(%),出来高倍率(20日),上ヒゲ率(%),推奨アクション,データ注意,警戒サイン,メモ,生成日時
撤退,9,3449.T,テクノフレックス,review,2026-08-17,,,4460.0,,12.337,-21.882,9.212,-30.461,39.804,19.092,-52.035,-56.699,3.874,0.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,4971.T,メック,review,2026-03-27,,,6340.0,,-3.36,-25.252,-16.374,-22.654,11.878,-6.213,-41.365,-44.48,1.408,50.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,4975.T,ＪＣＵ,review,2026-06-02,,,5800.0,,3.972,-8.883,-4.341,-12.365,4.986,6.422,-24.084,-28.307,0.824,40.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,4063.T,信越化学工業,review,2026-05-26,,,5844.0,,-1.324,-10.823,-5.374,-9.626,6.11,-3.421,-17.69,-24.005,1.472,13.402,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,429A.T,テクセンドフォトマスク,review,2026-08-06,,,3770.0,,0.937,-5.21,5.615,-6.09,11.42,3.857,-13.333,-23.374,0.906,15.0,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,6955.T,FDK,review,2026-07-23,,,410.0,,0.098,-7.391,-4.232,-7.481,3.41,1.737,-20.849,-23.364,1.109,33.333,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,5393.T,ニチアス,review,2026-08-06,,,3359.0,,0.281,-4.962,9.501,-5.228,15.218,3.801,-14.486,-18.982,1.073,56.25,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,3964.T,オークネット,review,2026-06-22,,,1343.0,,-2.551,-3.215,8.396,-0.681,11.997,-5.886,-0.541,-11.992,0.597,13.636,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,9,9979.T,大庄,review,2026-07-03,,,998.0,,-6.39,-7.702,-9.125,-1.402,-1.541,-8.621,-7.698,-11.827,5.587,14.815,検証完了（損切り）,,終値が75日線を2日連続で割れ / 25日線が75日線を再DC,過去売却・重点監視兼検証,2026-09-22T02:33:27
撤退,8,2492.T,ネイス,core,2026-09-15,1377.0,712.0,713.0,0.14,8.51,35.02,57.241,24.43,16.458,20.847,93.976,-2.195,0.782,42.105,ロスカット強制撤退,,【危険】取得価格から -12% 限界突破 (本日: -48.2%) / MAE制限：強制ロスカット基準に到達,既存保有・中期監視,2026-09-22T02:33:27
